IEVE  T1       T2       T3      W      XM212   XM223
  353     0.349     0.346     0.305 12337.005  3901.730  3015.750
  354     0.401     0.138     0.461 12337.005   784.588  1976.268
  355     0.296     0.274     0.430 12337.005  1394.939  4084.732
  356     0.332     0.180     0.488 12337.005   241.421  3352.879
  357     0.194     0.445     0.361 12337.005  2782.339  6111.482
  358     0.468     0.325     0.207 12337.005  5862.186   637.987
  359     0.470     0.331     0.199 12337.005  6014.725   608.195
  360     0.322     0.416     0.262 12337.005  4763.917  3558.632
  361     0.226     0.347     0.428 12337.005  1447.875  5488.714
  362     0.236     0.314     0.450 12337.005  1003.867  5270.506
  363     0.494     0.419     0.087 12337.005  8257.935   112.859
  364     0.406     0.217     0.377 12337.005  2463.139  1882.472
  365     0.092     0.462     0.446 12337.005  1071.854  8162.913
  366     0.234     0.314     0.452 12337.005   967.584  5319.038
  367     0.423     0.380     0.197 12337.005  6054.113  1548.642
  368     0.317     0.274     0.409 12337.005  1816.717  3663.606
  369     0.452     0.308     0.240 12337.005  5205.942   955.682
  370     0.325     0.220     0.455 12337.005   898.031  3494.272
  371     0.463     0.038     0.499 12337.005    24.241   733.484
  372     0.173     0.344     0.483 12337.005   349.867  6537.290
  373     0.329     0.243     0.428 12337.005  1439.661  3426.648
  374     0.433     0.480     0.087 12337.005  8263.420  1335.497
  375     0.430     0.484     0.086 12337.005  8287.614  1392.927
  376     0.467     0.373     0.160 12337.005  6807.238   654.595
  377     0.302     0.311     0.387 12337.005  2257.848  3965.117
  378     0.492     0.314     0.193 12337.005  6131.465   155.130
  379     0.353     0.379     0.268 12337.005  4646.417  2937.843
  380     0.159     0.360     0.480 12337.005   398.259  6811.385
  381     0.324     0.185     0.490 12337.005   190.047  3516.196
  382     0.163     0.468     0.369 12337.005  2623.272  6737.268
  383     0.446     0.131     0.423 12337.005  1533.911  1089.172
  384     0.457     0.240     0.303 12337.005  3946.679   855.596
  385     0.241     0.365     0.395 12337.005  2107.977  5189.639
  386     0.461     0.329     0.210 12337.005  5804.763   778.587
  387     0.191     0.347     0.462 12337.005   755.298  6176.519
  388     0.471     0.064     0.464 12337.005   715.793   573.002
  389     0.320     0.335     0.346 12337.005  3086.857  3603.444
  390     0.279     0.288     0.433 12337.005  1337.013  4429.284
  391     0.291     0.419     0.290 12337.005  4195.546  4175.247
  392     0.370     0.136     0.494 12337.005   121.774  2606.438
  393     0.225     0.417     0.358 12337.005  2839.268  5492.211
  394     0.128     0.457     0.415 12337.005  1697.817  7434.793
  395     0.475     0.309     0.216 12337.005  5677.346   498.047
  396     0.487     0.120     0.393 12337.005  2147.115   257.339
  397     0.353     0.320     0.327 12337.005  3459.874  2933.592
  398     0.467     0.468     0.066 12337.005  8687.940   668.787
  399     0.211     0.300     0.489 12337.005   216.444  5788.342
  400     0.202     0.334     0.464 12337.005   712.851  5969.270
  401     0.477     0.346     0.178 12337.005  6443.774   467.338
  402     0.342     0.224     0.434 12337.005  1313.230  3165.300
  403     0.407     0.295     0.299 12337.005  4026.141  1867.630
  404     0.368     0.336     0.296 12337.005  4086.131  2630.890
  405     0.440     0.348     0.212 12337.005  5760.419  1196.817
  406     0.278     0.225     0.497 12337.005    60.096  4435.216
  407     0.325     0.295     0.380 12337.005  2405.491  3502.073
  408     0.217     0.473     0.311 12337.005  3789.572  5666.311
  409     0.294     0.309     0.397 12337.005  2052.442  4127.348
